well_id,mtpi,elevation_m,mean_depth_to_water_m,clay,sand,silt,state,precip_gini,recharge_gini,kuma_a,kuma_b,lat,lon,nlcd_code,landcover,landcover_simple,n_events,total_precip_mm,total_recharge_mm,recharge_efficiency
400808075210401,-4,50.71118927,3.221358645717661,,,,Pennsylvania,0.4835452504322971,0.702793060573483,1.2034334282622443,0.8126402320881125,40.13616667,-75.3506944,21,"Developed, Open Space",Developed,950,22274.21,107777.72269876387,4.838677676953027
400916076492301,-3,143.369995117,6.709986244735891,26.3,31.2,42.6,Pennsylvania,0.4639767081250404,0.5365672076711822,1.0796096541603497,1.1311944143628616,40.1549722,-76.8229167,81,Pasture/Hay,Agriculture,600,15064.91,88724.83011795746,5.889502832606199
401552074501801,-1,37.243408203,4.998321196261683,23.2,38.6,38.3,New Jersey,0.4743732078657861,0.5640946528383661,1.128413614916906,1.055671687106794,40.26483028,-74.8362747,23,"Developed, Medium Intensity",Developed,386,10047.36,66161.77315221944,6.584990798798832
401637076071501,-9,149.51701355,3.1955375046931414,23.5,25.8,50.7,Pennsylvania,0.4762713469348555,0.6051937670349381,1.2743048760345583,1.191853733260177,40.27702778,-76.1206667,43,Mixed Forest,Forest,1151,27700.25,123889.5116157203,4.472505180123656
401753074483501,4,65.177261353,4.661958042602724,,,,New Jersey,0.4618442953937726,0.5719636133395822,1.0984441957660094,1.1192558844545677,40.29816305,-74.80932958,22,"Developed, Low Intensity",Developed,676,17418.96,85512.31514761937,4.909151588132666
401834074515501,0,55.809371948,20.54914177333793,21.8,33.9,44.3,New Jersey,0.4339911432177086,0.4913463043200665,0.9782919565216812,1.115925460688998,40.31038498,-74.85377538,41,Deciduous Forest,Forest,883,26231.18,138204.87129325912,5.268724902702018
402138074435801,-4,65.946289062,3.4869534007533387,20.3,36.0,43.6,New Jersey,0.4584875252491327,0.5411049069637492,1.0924475667369673,1.2125401592689844,40.36066208,-74.732383,21,"Developed, Open Space",Developed,1082,26308.85,121103.69145834423,4.603154127160413
402138079031802,-9,391.193878174,4.998529594447199,28.0,27.0,45.0,Pennsylvania,0.4390329791446505,0.5748152590887341,1.0758894461379738,1.2025318024884109,40.3604722,-79.0558333,41,Deciduous Forest,Forest,1076,22233.870000000003,87976.08073235935,3.9568496502120114
402207076180801,-4,135.216842651,2.6483181024702653,,,,Pennsylvania,0.4680643799349457,0.6740968467229573,1.2955799020025731,0.9555762954750852,40.36875,-76.3017222,24,"Developed, High Intensity",Developed,1639,37811.19,166485.61031121,4.403077774362828
402255076422001,-3,154.152114868,3.751097220799582,23.5,33.5,43.0,Pennsylvania,0.5187093792388703,0.6550155106690506,0.9394641171378068,0.7461513944450605,40.382,-76.70575,41,Deciduous Forest,Forest,400,9841.95,61536.600219433436,6.252480475864379
402411077374801,-10,193.173431396,4.060342073836276,25.1,24.2,50.7,Pennsylvania,0.4662870620866809,0.649922899035359,1.2083051853185087,0.9778212956873316,40.40302778,-77.62988889,21,"Developed, Open Space",Developed,1266,25613.47,109339.40200290788,4.26882425547604
402512074414301,-2,32.302829742,5.358939742786481,19.3,34.0,46.7,New Jersey,0.4401693296853562,0.5468254197912549,1.033744914159482,0.9763782092662324,40.4201055,-74.694882,41,Deciduous Forest,Forest,130,3385.9300000000003,22418.072516696768,6.620949788299453
402553074271701,0,21.9400177,4.776562660187436,17.4,37.2,45.4,New Jersey,0.4677232721702725,0.6368827980994793,0.7271751747365136,0.8254760324118329,40.43205038,-74.4548742,21,"Developed, Open Space",Developed,1099,25256.03,29883.841735013662,1.1832359137605422
402615075530501,-9,132.42414856,40.63464843756449,,,,Pennsylvania,0.4619835275600966,0.6659136952624892,0.9020581773780696,0.7818473709047071,40.4374722,-75.88425,23,"Developed, Medium Intensity",Developed,1249,28230.93,101842.95577767561,3.607495600664789
402735077100901,-19,156.648269653,3.789738110701108,24.0,29.7,46.2,Pennsylvania,0.4993338618693455,0.649273591646516,1.0893967066522077,0.9035274173237728,40.46044444,-77.1686944,81,Pasture/Hay,Agriculture,796,16112.9,96984.95932844443,6.01908776995106
402750078452201,1,650.75994873,2.257659061202768,23.3,41.8,35.0,Pennsylvania,0.5032568828830877,0.5767474532799615,1.1854777543259822,1.1295878152476742,40.4625833,-78.7590556,21,"Developed, Open Space",Developed,554,11856.39,89263.89715661082,7.528758513899326
403200074420601,-4,19.930515289,2.4532766979975484,23.5,30.6,45.9,New Jersey,0.4563317049014959,0.6385111555254029,1.0877274299646855,0.8574966714890307,40.53325,-74.7018056,82,Cultivated Crops,Agriculture,480,10442.050000000001,51712.034076127966,4.95228753703803
403455074514801,-7,51.941734314,3.080589885183912,22.0,31.9,46.1,New Jersey,0.4697645179127833,0.4718954095710471,0.9312790961801116,1.200999462655698,40.57732477,-74.86044348,43,Mixed Forest,Forest,1560,36339.44,101432.8363513326,2.7912603042681066
403719075091801,-27,53.602737427,2.039279633881975,13.6,37.2,49.3,New Jersey,0.4847644050772122,0.6608704378661858,1.2059286660661144,0.9310339947456402,40.6220448,-75.1546189,21,"Developed, Open Space",Developed,1007,23433.670000000002,108244.82057414767,4.619200516784083
403734080063001,-19,313.262908936,2.0403130389852207,28.3,12.5,59.2,Pennsylvania,0.4298597252210935,0.5083975776818732,1.0200244078224183,1.2747168127191688,40.62619444,-80.10838889,41,Deciduous Forest,Forest,1554,32240.540000000005,127830.0159815633,3.9648844585594185
403939076591001,19,222.266464233,5.683516662245598,20.3,28.9,50.8,Pennsylvania,0.4808012824164085,0.7981654314017396,1.480112235309703,0.8902964918384635,40.6612222,-76.9855556,21,"Developed, Open Space",Developed,1369,29137.11,104287.04951126635,3.57918302505864
404140077354001,0,244.798294067,16.1498576757691,,,,Pennsylvania,0.3950801162448319,0.5899049558343983,0.9638637547576132,0.9073876205366396,40.69477778,-77.5939444,22,"Developed, Low Intensity",Developed,469,6893.5599999999995,31460.035944978103,4.5636849385481675
404239076362001,7,288.22479248,6.163286394485929,20.4,29.0,50.6,Pennsylvania,0.4856417280948144,0.673254525384029,0.963938569436384,0.7935715434738199,40.71080556,-76.6054722,41,Deciduous Forest,Forest,742,18131.440000000002,87323.08284826548,4.816114045451738
404518077575501,-17,349.219665527,20.4721230953963,14.5,47.7,37.8,Pennsylvania,0.4486591020712608,0.6992980269899671,0.8410810357805107,1.1673253248397677,40.75544444,-77.96625,21,"Developed, Open Space",Developed,723,13581.45,21062.259703160467,1.5508108267644813
404556077525101,0,372.260955811,28.514203794392525,33.2,28.1,38.8,Pennsylvania,0.3781724686292387,0.5397873268696015,1.036355544507476,0.8611186679139814,40.76563889,-77.8806944,23,"Developed, Medium Intensity",Developed,565,8863.37,51810.3956000316,5.845451064327857
404639074230001,-1,60.690597534,13.26352942339833,,,,New Jersey,0.4441576653852238,0.4432576067885344,0.983201605570518,1.5240323176300177,40.7776003,-74.3829292,90,Woody Wetlands,Wetland,603,15819.09,57197.23488588109,3.6157095563576087
404708076070701,-46,387.671142578,14.859103948729686,12.3,49.5,38.2,Pennsylvania,0.4486536986350853,0.6567862954147368,1.101727268085699,0.8531157835995636,40.78575,-76.1184722,41,Deciduous Forest,Forest,821,13802.220000000001,67617.33118380203,4.899018504545068
